1
1,-0.2858381,0
0.01051308,0.5879811,0.06717752,0.8060118
-0.01346161,0.5921746,0.03282815,0.8050283
0,0,0,0
0.02068731,0.5951359,-0.1227032,0.7939332
0,0,0,0
0.674005,0.1243443,0.3698746,-0.6272549
0.7447052,0.1553704,0.09033558,-0.6427395
0.7100733,0.2062213,-0.01185602,-0.6731482
0,0,0,0
0,0,0,0
0,0,0,0
0.5681646,0.1116587,0.1593052,0.7995895
0.5713951,-0.2636817,0.2851594,0.7229551
0.5719665,-0.3082684,0.2527234,0.7169074
0,0,0,0
0,0,0,0
0,0,0,0
-0.3550553,0.1449034,-0.6930865,0.6103852
-0.4056284,-0.04056618,-0.9124199,0.03619746
-0.4587587,-0.02915067,-0.8865489,0.05217307
0,0,0,0
0.4136853,0.5173597,0.4951167,0.5621948
-0.025729,0.6058006,-0.01033132,0.7951335
-0.005291409,0.5402058,0.01821696,0.8413194
0,0,0,0
0.4962641,0.4299809,0.5875479,-0.4728912
0.5492236,0.4391353,-0.2405582,0.6690634
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
2
1,-0.2858379,0
0.01063826,0.5880414,0.06722584,0.8059621
-0.01333626,0.5922427,0.03287479,0.8049784
0,0,0,0
0.02079066,0.595223,-0.122671,0.79387
0,0,0,0
0.6739674,0.1255822,0.368336,-0.6279537
0.7439457,0.1567615,0.08909146,-0.6434544
0.7090493,0.2064844,-0.01163785,-0.6741499
0,0,0,0
0,0,0,0
0,0,0,0
0.5690019,0.1099885,0.1580816,0.7994685
0.5719004,-0.2635888,0.2850073,0.7226493
0.5725257,-0.3081301,0.2525533,0.7165804
0,0,0,0
0,0,0,0
0,0,0,0
-0.3546819,0.1453474,-0.6932333,0.61033
-0.4050138,-0.0403712,-0.9126995,0.03624822
-0.4587731,-0.02899212,-0.8865444,0.05220858
0,0,0,0
0.4138574,0.5172683,0.4950941,0.5621722
-0.02557955,0.6062604,-0.01028815,0.7947885
-0.005119622,0.5403054,0.01825721,0.8412555
0,0,0,0
0.4983909,0.4284832,0.5880356,-0.4714053
0.5491125,0.4386009,-0.2402046,0.6696319
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
3
1,-0.2858377,0
0.01049864,0.5879828,0.06715343,0.8060127
-0.01346511,0.5921831,0.03280001,0.8050231
0,0,0,0
0.02067574,0.5951467,-0.122749,0.7939181
0,0,0,0
0.6739222,0.1239232,0.3703586,-0.6271417
0.7447622,0.1552153,0.0906107,-0.6426722
0.7101525,0.2065253,-0.01236564,-0.6729623
0,0,0,0
0,0,0,0
0,0,0,0
0.5679613,0.1120004,0.1595142,0.7996446
0.5712878,-0.2637849,0.2850738,0.7230358
0.5719407,-0.3084222,0.2525745,0.7169142
0,0,0,0
0,0,0,0
0,0,0,0
-0.3551106,0.1448598,-0.6930698,0.6103824
-0.4057305,-0.04051565,-0.912378,0.03616636
